"cargo","iddj","calle","provincia","reparticion","dependencia","cumple_horarios","organismo","localidad_cargo","numero"
Administrador de bases de datos,19544,Cañada de Ariadna Galán,Jaén,Gabriel Angulo Codina S.A.D,S.A.D,Sí,Industrias del Norte S.Coop.,Málaga,525
Agente de compras,3224,Acceso Micaela Colom,Melilla,Patiño y asociados S.Coop.,S.C.P,No,Fábrica Castellana S.L.,Segovia,255
Agente de servicios de expedición de licencias y permisos,18736,C. Flor Cobo,Alicante,Hnos Peralta S.A.,S.Coop.,Sí,Jacinta Benavent Merino S.L.,Ourense,796
Analista de gestión y organización,4568,C. de Manuela Casas,Castellón,Talleres Ruano & Asociados S.Coop.,S.L.N.E,Sí,Amílcar Gutierrez Zamorano S.L.N.E,Valladolid,970
Analista de gestión y organización,17742,Paseo de Lupe Pont,Huesca,Zabaleta y asociados S.A.,S.C.P,No,Comercializadora Bernat S.L.,Burgos,978
Ayudante de cámara,18878,C. Paula Montserrat,Teruel,Abraham Rosado Benitez S.A.,S.L.,Sí,Manufacturas CZ S.L.N.E,Melilla,392
Bailarín,14680,Paseo Amor Bustamante,Melilla,Industrias IJF S.A.,S.L.,No,Banco JFQ S.L.,Lleida,824
Conductor de vehículos accionados a pedal o a brazo,4663,Acceso de Martirio Sevilla,Vizcaya,Hotel XFUP S.A.,S.Coop.,No,Talleres Ibéricos S.L.,Burgos,554
Costurero,10325,Camino Visitación Anaya,León,Hnos Luís S.L.N.E,S.Coop.,No,Transportes Farré y asociados S.Coop.,Huelva,334
Diseñador multimedia,16860,Pasadizo de Evelia Bonet,Toledo,Familia Mate S.A.,S.Com.,No,Distribuciones del Sur S.L.U.,Murcia,877
Ensamblador de aviones,16264,Faker 1998,Bariloche,ASD 1,ASD22,Sí,Fábrica de aviones,Rio Gallegos,111
Ensamblador de equipos eléctricos,16264,Alameda Abigaíl Fernandez,Las Palmas,Castellanos y Hidalgo S.A.,S.L.,No,Banca Privada Quirós S.A.,Girona,66
Ensamblador de ovnis,16264,Faker 1222,Neuquén,ASD 2,ASD33,Sí,Fábrica de ovnis,Santa Cruz,222
Ensamblador de submarinos,16264,Faker 1203,Tierra del Fuego,ASD 3,ASD44,Sí,Fábrica de submarinos,San Luis,333
Entrevistador de encuestas,17887,Pasadizo Juanito Falcó,Toledo,Familia Verdugo S.Coop.,S.Com.,No,Herberto Izquierdo Baños S.L.N.E,Huesca,919
Especialista en tratamientos de belleza,3987,Pasaje Godofredo Mate,Teruel,Industrias Pinedo S.L.U.,S.A.U,No,Servicios Inteligentes S.Coop.,Baleares,493
Fumigador,5872,Plaza Araceli Calderón,Alicante,Hermanos Tapia S.A.T.,S.L.,Sí,Banca Privada Lopez y asociados S.C.P,Valladolid,169
Lavador de ventanas,1447,C. Isidora Carranza,Vizcaya,Desarrollo QUGZ S.Com.,S.Coop.,Sí,Victor Manuel Torrecilla Azcona S.A.T.,Ceuta,55
Operador de máquinas para fabricar productos de material plástico,16388,Urbanización Odalis Teruel,Tarragona,Hermanos Morera S.Coop.,S.L.,Sí,Ofelia Santamaria Molina S.L.,Ávila,870
Peón de minas y canteras,4471,Glorieta Olivia Carballo,Teruel,Primitiva Carballo Rosado S.L.,S.Com.,No,Supermercados Globales S.L.,Valencia,754
Psicólogo,18476,Urbanización de Cayetana Velázquez,Lleida,Banca Privada Patiño S.A.,S.L.,Sí,Aguiló y Bravo S.Coop.,Cádiz,252
Revocador,12861,Vial Zaira Prada,Vizcaya,Benjamín Manuel Palomares S.A.T.,S.L.L.,No,Farmaceútica Sevillano S.Com.,Valladolid,911
Supervisor de la construcción,3935,Ronda de Carmelita Arjona,Asturias,Ruiz y asociados S.L.N.E,S.A.,Sí,Rosselló y asociados S.L.,Zaragoza,828
