"nombre","cargo","año_alta","obra_social","observacion","idos"
Banca Privada Inteligentes S.A.,Gerente de comercios al por mayor y al por menor,2012-12-04,INSSSEP,Natus fugit eum asperiores.,1569
Banco Integrales S.A.U,Profesional de nivel medio de servicios estadísticos o matemáticos,2005-04-18,INSSSEP,Non excepturi iure perferendis alias ipsam.,18418
Casas y asociados S.C.P,Cajero,2019-02-21,INSSSEP,Eum mollitia rerum impedit sint enim sapiente quibusdam.,16277
Comercializadora del Mediterráneo S.Com.,Dentista,2016-07-18,INSSSEP,Impedit dolor deleniti aut recusandae.,5335
Construcción Manrique & Asociados S.L.N.E,Operador de máquinas de movimiento de tierras,2010-05-07,INSSSEP,Doloribus ut ad corrupti quisquam tempora labore.,18418
España y asociados S.L.N.E,Profesional religioso,2008-05-03,ACCORD,Minima ut consectetur iusto velit dolorum.,16277
Fábrica GG S.C.P,Operador de instalaciones de procesamiento de minerales y rocas,2022-03-01,ACCORD,Eum hic similique unde.,6494
Familia Plana S.C.P,Técnico en seguridad aeronáutica,2017-03-24,ACCORD,Autem sint ipsum deserunt distinctio corporis corporis.,4956
Finanzas del Sur S.L.L.,Lingüista,2021-06-27,INSSSEP,Delectus quaerat fuga veniam voluptatum.,9026
Flor y Jover S.A.T.,Operador de máquinas para fabricar productos de papel,2004-12-26,INSSSEP,Rem minima voluptatem laudantium officia asperiores officiis.,5335
Gallardo & Asociados S.Coop.,Agente de maniobras,2007-08-10,INSSSEP,Dolores ab ut nihil accusantium dolores minima ex.,8986
Hermanos Fernandez S.L.,Operador de máquinas de tratamiento de pieles y cueros,2023-01-30,ACCORD,Dolorum blanditiis saepe cumque.,6683
Hermanos Molina S.A.,Electrotécnico,2018-03-28,INSSSEP,Officia ut temporibus sed.,11011
Jose Ramón Bilbao Ariza S.A.,Guardagujas,2008-05-15,INSSSEP,Vitae vitae aliquam iste ipsum doloribus.,16277
Montoya y Huertas S.Coop.,Operador de máquinas lavarropas,2014-02-14,INSSSEP,Ex provident architecto recusandae explicabo.,18066
Restauración Manso S.A.T.,Meteorólogo,2011-04-02,ACCORD,Ea dolore ipsa eligendi eveniet consectetur.,5027
Roca y Elías S.L.N.E,Técnico en redes y sistemas de computadores,2015-05-28,INSSSEP,Mollitia nobis temporibus repellendus.,11724
Sigfrido Agustín Ripoll S.A.,Inspector de fronteras,2020-03-19,INSSSEP,Id aliquid voluptate rerum aut.,6967
Torres y Aguiló S.Com.,Dinamitero,2007-11-19,ACCORD,Beatae dolores necessitatibus.,16403
Valle y Clemente S.A.,Profesional religioso,2004-10-06,INSSSEP,Repellat omnis accusamus id maxime commodi.,11724
