"fecha_ingreso","lugar_presta_servicio","tipo_dependencia","funcion","iddj"
2020-11-26,Álvaro Llamas Losada S.Com.,Relación de Dependencia,Empacador manual,4471
2022-05-25,Banca Privada QBJA S.Com.,Relación de Dependencia,Agente de compras,18476
2020-03-25,Basilio Saldaña Villar S.A.,Autónomo,Miembro de las fuerzas armadas,4568
2023-04-28,Coca & Asociados S.Com.,Autónomo,Trabajador de cuidados personales en instituciones,18878
2022-07-21,Comercial Avanzadas S.Coop.,Autónomo,Conductor de vehículos accionados a pedal o a brazo,16388
2022-04-11,Encarna Zabaleta Carreño S.Coop.,Relación de Dependencia,Profesional de partería,17887
2022-03-11,Finanzas Andres y asociados S.Com.,Autónomo,Ayudante de ambulancia,18736
2024-06-07,Folch y Agullo S.Com.,Relación de Dependencia,Actuario,10325
2024-03-23,Hnos Pascual S.Com.,Relación de Dependencia,Agrimensor,3935
2022-02-26,Industrias QY S.Coop.,Autónomo,Buzo,4663
2023-09-26,Lamas y Murillo S.Com.,Relación de Dependencia,Instalador de material aislante y de insonorización,3224
2021-09-20,Madrigal y Anaya S.L.L.,Autónomo,Trabajador forestal calificado,16264
2023-11-13,Nilo Santiago Ariño S.A.,Relación de Dependencia,Actuario,19544
2021-08-12,Pelayo Doménech Pardo S.L.,Relación de Dependencia,Agente de seguros,3987
2021-06-09,Perea & Asociados S.L.,Relación de Dependencia,Focumentalista,14680
2020-04-25,Promociones Palomares S.L.,Autónomo,Agente de empleo,12861
2021-09-14,Soluciones WRSG S.A.,Relación de Dependencia,Tenedor de libros,5872
2020-07-22,Tamayo y asociados S.Coop.,Relación de Dependencia,Especialista en políticas y servicios de personal,16860
2020-12-08,Transportes CO S.Coop.,Relación de Dependencia,Director de políticas y planificación,1447
2021-05-28,Villalonga y Arellano S.Coop.,Relación de Dependencia,Buzo,17742
